title,genre,rating,lead,director,year,medium,duration,theater
The Avengers: Age of Ultron 3D,Action,PG-13,Robert Downey Jr.,Joss Whedon,2015,3D,141,3
Born to be Wild 3D,Family,G,Morgan Freeman,David Lickley,2011,3D,40,3
Captain America : The Winter Soldier 3D,Action,PG-13,Chris Evans,Anthony Russo/ Jay Russo,2014,3D,136,3
The Chronicles of Narnia: The Voyage of the Dawn Treader 3D,Adventure,PG,Georgie Henley,Michael Apted,2010,3D,113,3
Cirque Du Soleil: Worlds Away 3D,Fantasy,PG,Erica Linz,Andrew Adamson,2012,3D,91,3
Cloudy with a Chance of Meatballs 2 3D,Animation,PG,Ana Faris,Cody Cameron,2013,3D,95,3
Despicable Me 3D,Animation,PG,Steve Carell,Pierre Coffin,2010,3D,95,3
Despicable Me 2 3D,Animation,PG,Steve Carell,Pierre Coffin,2013,3D,98,3
Finding Nemo 3D,Animation,G,Ellen DeGeneres,Andrew Stanton,2003,3D,100,3
Gravity 3D,Drama,PG-13,Sandra Bullock,Alfonso Cuaron,2013,3D,91,3
Hercules 3D,Action,PG-13,Dwayne Johnson,Brett Ratner,2014,3D,97,3
Hotel Transylvania,Animation,PG,Adam Sandler,Genndy Tartakovsky,2012,3D,91,3
Ice Age: Continetal Drift 3D,Animation,PG,Ray Romano,Steve Martino,2012,3D,88,3
"I, Frankenstein 3D",Action,PG-13,Aaron Eckhart,Stuart Beattie,2014,3D,92,3
Imax Under the Sea 3D,Documentary,G,Jim Carrey,Howard Hall,2009,3D,40,3
Inside Out,Animated,PG,Amy Poehler,Pete Docter,2015,3D,95,3
Jurassic Park 3D,Adventure,PG-13,Jeff Goldblum,Steven Spielberg,1993,3D,127,3
Jurassic World 3D,Adventure,PG-13,Chris Pratt,Colin Trevorrow,2015,3D,125,3
The Lego Movie,Animated,PG,Chris Pratt,Phil Lord,2014,3D,101,3
Life of Pi 3D,Adventure,PG,Suraj Sharma,Ang Lee,2012,3D,127,3
The Little Mermaid 3D,Animation,G,Jodi Benson,Ron Clements,1989,3D,83,3
Mad Max: Fury Road,Action,R,Tom Hardy,George Miller,2015,3D,120,3
Mars Needs Moms 3D,Animation,PG,Seth Green,Simon Wells,2011,3D,88,3
Megamind 3D,Animation,PG,Will Ferrell,Tom McGrath,2010,3D,95,3
"Monsters, Inc.",Animation,G,Billy Crystal,Pete Docter,2001,3D,92,3
The Nightmare Before Christmas 3D,Animation,PG,Danny Elfman,Henry Selick,1993,3D,76,3
Open Season 3D,Animation,PG,Ashton Kutcher,Roger Allers,2006,3D,83,3
Pixels 3D,Comedy,PG-13,Adam Sandler,Chris Columbus,2015,3D,106,3
The Polar Express 3D,Animation,PG,Tom Hanks,Robert Zemeckis,2004,3D,100,3
Pompeii 3D,Action,PG-13,Kurt Russell,Roland Emmerich,1994,3D,121,3
Rio 3D,Animation,G,Jesse Eisenberg,Carlos Saldanha,2011,3D,96,3
Rio 2 3D,Animation,G,Jesse Eisenberg,Carlos Saldanha,2014,3D,101,3
The Spongebob Movie: Sponge Out of Water 3D,Animated,PG,Antonio Banderas,Paul Tibbitt,2015,3D,92,3
Tangled,Animation,PG,Mandy Moore,Nathan Gemo,2010,3D,100,3
Teenage Mutant Ninja Turtles 3D,Action,PG-13,Megan Fox,Jonathan Liebesman,2014,3D,101,3
Thor 3D,Action,PG-13,Chris Hemsworth,Kenneth Branagh,2011,3D,115,3
Thor: The Dark World 3D,Action,PG-13,Chris Hemsworth,Alan Taylor,2013,3D,112,3
Transformers: Dark of the Moon 3D,Action,PG-13,Shia LaBeouf,Michael Bay,2011,3D,154,3
The Universe 3D,Documentary,PG,Erik Thompson,Multiple,2007,3D,45,3
The Wizard of Oz 3D,Adventure,PG,Judy Garland,Victor Fleming,1939,3D,102,3
Yellowstone 3D,Documentary,PG,,,2013,3D,62,3
12 Years A Slave,Bio,R,Chiwetil Ejiofor,Steve McQueen,2013,Blu-Ray,134,3/4
21 Jump St,Action/Comedy,R,Jonah Hill,Phil Lord,2012,Blu-Ray,109,3/4
27 Dresses,Comedy,PG-13,Katherine Heigl,Anne Fletcher,2008,Blu-Ray,111,3/4
3 Days to Kill,Action,PG-13,Kevin Costner,McG,2014,Blu-Ray,117,3/4
300: Rise of an Empire,Action,R,Sullivan Stapleton,Noam Murro,2014,Blu-Ray,102,3/4
47 Ronin,Drama,R,Keanu Reves,Carl Rinsch,2013,Blu-Ray,118,3/4
A Charlie Brown Thanksgiving,Animation,TV Short,Todd Barbee,Bill Melendez,1973,Blu-Ray,30,3/4
A Million Ways to Die in the West,Comedy,R,Seth MacFarlane,Seth MacFarlane,2014,Blu-Ray,116,3/4
The Age of Adaline,Romance,PG-13,Blake Lively,Lee Toland Krieger,2015,Blu-Ray,113,3/4
Alice in Wonderland,Fantasy,PG,Mia Wasikowska,Tim Burton,2010,Blu-Ray,108,3/4
Aliens in the Attic,Comedy/Family,PG,Ashley Tisdale,John Schultz,2009,Blu-Ray,86,3/4
All That Jazz,Drama,R,Roy Scheider,Bob Fosse,1979,Blu-Ray,123,3/4
American Gangster,Drama,R,Denzel Washington,Ridley Scott,2007,Blu-Ray,157,3/4
American Sniper,Drama,R,Bradley Cooper,Clint Eastwood,2014,Blu-Ray,134,3/4
The Amazing Spider Man,Action,PG-13,Andrew Garfield,Marc Webb,2012,Blu-Ray,136,3/4
